pname,pid,formatted_address,longitude,latitude,lnglat
外滩,100101B2094757D66DA7F4469B,上海市虹口区外滩,121.495048,31.252508,"121.495048,31.252508"
上海城隍庙广场,100101B2094654DA6EA4FD459E,上海市黄浦区上海城隍庙广场,121.492754,31.224771,"121.492754,31.224771"
静安寺,100101B2094655D269ABFD469B,上海市静安区静安寺,121.445774,31.223076,"121.445774,31.223076"
好食同乐(余姚路),100101B2094757D06FA3FD4592,上海市静安区余姚路,121.438655,31.235838,"121.438655,31.235838"
上海大舞台,100101B2094655D26EAAFD459C,上海市徐汇区上海大舞台,121.438367,31.181498,"121.438367,31.181498"
世博公园,100101B2094757D06EAAF4409D,上海市浦东新区世博公园,121.484813,31.187066,"121.484813,31.187066"
顾村公园,100101B2094757D66EA7F84098,上海市宝山区顾村公园,121.368861,31.339660,"121.368861,31.339660"
奶盖贡茶南京东路大丸百货店,100101B2094757D06FA2FE439A,上海市黄浦区大丸百货店,121.484640,31.237042,"121.484640,31.237042"
上海东方艺术中心(Shanghai Oriental Art Center),100101B2094654DA69A3FE4792,上海市浦东新区东方艺术中心,121.541287,31.222792,"121.541287,31.222792"
世纪公园,100101B2094654DA69A1FB419B,上海市浦东新区世纪公园,121.552556,31.215723,"121.552556,31.215723"
世博演艺中心,100101B2094655D268A3FF449E,not found,not found,not found,not found
上海半岛酒店,100101B2094757D06EAAF8499F,上海市黄浦区上海半岛酒店,121.489193,31.241143,"121.489193,31.241143"
香格里拉大酒店,100101B2094655D269A4F44793,上海市静安区香格里拉大酒店,121.450404,31.223096,"121.450404,31.223096"
上海野生动物园,100101B2094654DB6FA0F4499E,上海市浦东新区野生动物园,121.721670,31.055130,"121.721670,31.055130"
上海图书馆,100101B2094655D36DA6FE449F,上海市徐汇区上海图书馆,121.445183,31.206910,"121.445183,31.206910"
上海浦东新区图书馆(新馆),100101B2094654DA68A4F9409A,上海市浦东新区区图书馆,121.541449,31.191644,"121.541449,31.191644"
19叁3老场坊,100101B2094655D26BA7FC469A,not found,not found,not found,not found
世博园区中国馆,100101B2094655D268A3FF4498,上海市浦东新区中国馆,121.494208,31.184258,"121.494208,31.184258"
上海外滩茂悦大酒店,100101B2094654DB6AA6F8409C,上海市虹口区外滩茂悦大酒店,121.492502,31.245050,"121.492502,31.245050"
江边城外巫山烤全鱼(金陵东路店),100101B2094757D06EAAF84998,上海市黄浦区巫山烤全鱼,121.481790,31.238430,"121.481790,31.238430"
万达国际电影城(五角场店),100101B2094654D56EA5F4449F,上海市杨浦区万达国际影城,121.513352,31.301048,"121.513352,31.301048"
大光明电影院,100101B2094654DB64A6FD4593,上海市宝山区大光明电影院,121.489117,31.320632,"121.489117,31.320632"
查餐厅思南路店,100101B2094757D06EAAFF499E,上海市徐汇区查餐厅,121.434560,31.192340,"121.434560,31.192340"
南翔馒头店,100101B2094654DB65A1F54199,上海市黄浦区南翔馒头店,121.492512,31.225722,"121.492512,31.225722"
绿茶餐厅,100101B2094757D06EAAF4429F,上海市闵行区绿茶餐厅,121.351120,31.155378,"121.351120,31.155378"
上海大剧院,100101B2094654DA68A3FB469F,上海市黄浦区上海大剧院,121.471707,31.229607,"121.471707,31.229607"
上海展览中心,100101B2094654DA6CA0FD499E,上海市静安区上海展览中心,121.451958,31.224314,"121.451958,31.224314"
上海杜莎夫人蜡像馆(南京西路),100101B2094654DA68A3FD479F,上海市黄浦区杜莎夫人蜡像馆,121.473516,31.234896,"121.473516,31.234896"
上海金茂君悦大酒店,100101B2094654DB6AA6FF459C,上海市浦东新区金茂君悦大酒店,121.505931,31.235234,"121.505931,31.235234"
七宝古镇,100101B2094655D26DA0F84892,上海市闵行区七宝,121.345977,31.138001,"121.345977,31.138001"
上海外滩华尔道夫酒店,100101B2094757D06EABF54998,上海市黄浦区外滩华尔道夫酒店,121.489733,31.233632,"121.489733,31.233632"
上海環球金融中心100F,100101B2094757D068AAFF439C,上海市浦东新区环球金融中心,121.507303,31.233550,"121.507303,31.233550"
台北纯K（天山店）,100101B2094757D06EABF4499F,上海市杨浦区台北纯,121.518363,31.301180,"121.518363,31.301180"
上海和平饭店,100101B2094654DB6BABFD469C,上海市黄浦区和平饭店,121.489023,31.239126,"121.489023,31.239126"
初花,100101B2094654D56BABFE469E,not found,not found,not found,not found
东平国家森林公园,100101B2094757D06FA2FF4793,上海市崇明区国家森林公园,121.481662,31.676400,"121.481662,31.676400"
上海世茂皇家艾美酒店,100101B2094655D26EABFB409B,上海市黄浦区世茂皇家艾美酒店,121.475774,31.234186,"121.475774,31.234186"
艺海剧院,100101B2094654DA6CA4FD449A,上海市静安区艺海剧院,121.452481,31.235040,"121.452481,31.235040"
查餐厅 辛耕路店 Cha's,100101B2094757D06EAAF9439B,上海市徐汇区查餐厅,121.434560,31.192340,"121.434560,31.192340"
70后饭吧常德店,100101B2094757D06FA0FE439B,上海市普陀区常德店,121.439514,31.238325,"121.439514,31.238325"
源深体育中心,100101B2094655D26FA1FD459E,上海市浦东新区源深体育中心,121.536321,31.231355,"121.536321,31.231355"
上海影视乐园,100101B2094757D06FA1F9489B,上海市松江区上海影视乐园,121.312775,31.010147,"121.312775,31.010147"
翠华餐厅,100101B2094655D268A6F5449B,上海市徐汇区翠华餐厅,121.456803,31.186414,"121.456803,31.186414"
长风公园,100101B2094654DB6BA7FF439B,上海市普陀区长风公园,121.399507,31.225077,"121.399507,31.225077"
上海影城,100101B2094654D564A7F5499A,上海市长宁区上海影城,121.429608,31.202156,"121.429608,31.202156"
海底捞火锅张杨路店,100101B2094757D06EAAF84899,上海市黄浦区海底捞火锅,121.470880,31.204975,"121.470880,31.204975"
上海海洋水族馆,100101B2094654DA6FA7FD459E,上海市浦东新区海洋水族馆,121.501957,31.240765,"121.501957,31.240765"
江边城外巫山烤全鱼(南京西路店),100101B2094757D168A7F5429B,上海市黄浦区巫山烤全鱼,121.481790,31.238430,"121.481790,31.238430"
浦东嘉里大酒店(Kerry Hotel),100101B2094757D06FA6FE449A,上海市浦东新区嘉里大酒店,121.563129,31.212151,"121.563129,31.212151"
人民大舞台,100101B2094757D06FA3F9489A,上海市黄浦区人民大舞台,121.477932,31.234251,"121.477932,31.234251"
王鼎日本料理铁板烧,100101B2094757D06EAAFF439B,上海市黄浦区王鼎日本料理铁板烧,121.470802,31.232429,"121.470802,31.232429"
