pname,pid,formatted_address,longitude,latitude,lnglat
天安门广场,100101B2094654D36EA0FA4198,北京市东城区天安门广场,116.397726,39.903767,"116.397726,39.903767"
颐和园,100101B2094654D26FA1F5499D,北京市海淀区颐和园,116.272876,39.992430,"116.272876,39.992430"
北京八达岭长城,100101B2094757D56FA3F5439A,北京市延庆区八达岭长城,116.016802,40.356188,"116.016802,40.356188"
故宫博物院,100101B2094654D66CA4FB4098,北京市东城区故宫博物院,116.397026,39.918058,"116.397026,39.918058"
朝阳公园,100101B2094654D16DA1FA449A,北京市朝阳区朝阳公园,116.482534,39.944304,"116.482534,39.944304"
奥林匹克公园中心区,100101B2094654D065A1F9499D,北京市朝阳区奥林匹克公园中心区,116.396533,39.998719,"116.396533,39.998719"
欢乐谷,100101B2094654D368A5F8439A,北京市朝阳区欢乐谷,116.500599,39.865009,"116.500599,39.865009"
蓝色港湾,100101B2094654D16FA3FF489C,北京市朝阳区蓝色港湾,116.475116,39.949468,"116.475116,39.949468"
北海公园,100101B2094654D269A6FE4898,北京市西城区北海公园,116.388767,39.928265,"116.388767,39.928265"
香山公园,100101B2094654D26CA2FA4498,北京市海淀区香山公园,116.189141,39.990246,"116.189141,39.990246"
北京动物园,100101B2094654D26EA3F54393,北京市西城区北京动物园,116.339892,39.941344,"116.339892,39.941344"
国家大剧院,100101B2094654D36EA0FA4093,北京市西城区国家大剧院,116.389669,39.906245,"116.389669,39.906245"
中国国家博物馆,100101B2094654D36EAAFA439A,北京市东城区中国国家博物馆,116.401388,39.905417,"116.401388,39.905417"
国家图书馆,100101B2094654D06AA7F8469F,北京市西城区国家图书馆,116.384739,39.923779,"116.384739,39.923779"
景山公园,100101B2094654D269A5F9489D,北京市西城区景山公园,116.396776,39.925847,"116.396776,39.925847"
798艺术中心,100101B2094654D069ABFD469D,北京市朝阳区798艺术区,116.494606,39.985056,"116.494606,39.985056"
中华民族园,100101B2094757D068AAF84499,北京市朝阳区中华民族园,116.390853,39.985205,"116.390853,39.985205"
王府半岛酒店,100101B2094757D06FA2FC409A,北京市东城区王府半岛酒店,116.415977,39.914918,"116.415977,39.914918"
后海夜色,100101B2094757D464A2FB499F,北京市西城区后海,116.393097,39.938880,"116.393097,39.938880"
地坛公园,100101B2094654D168A0F4439B,北京市东城区地坛公园,116.414867,39.953679,"116.414867,39.953679"
三里屯酒吧街,100101B2094757D06EAAF4489F,北京市朝阳区酒吧街,116.455660,39.934683,"116.455660,39.934683"
后海,100101B2094757DB6FABFE469A,北京市西城区后海,116.393097,39.938880,"116.393097,39.938880"
雍和宫,100101B2094654D66EA3FE4399,北京市东城区雍和宫,116.417795,39.945371,"116.417795,39.945371"
mix club酒吧,100101B2094654D168A0FE499F,not found,not found,not found,not found
