pname,pid,formatted_address,longitude,latitude,lnglat
宽窄巷子,100101B2094757D06EAAFE419B,四川省成都市青羊区宽窄巷子,104.057401,30.673319,"104.057401,30.673319"
锦里餐厅,100101B2094655DA6FA2F84392,not found,not found,not found,not found
武侯祠,100101B2094655DA6FA2F8429F,四川省成都市武侯区武侯,104.047994,30.646094,"104.047994,30.646094"
都江堰景区,100101B2094757D06FA3FF449C,四川省成都市都江堰市都江堰景区,103.608743,31.001635,"103.608743,31.001635"
成都大熊猫繁育研究基地,100101B2094757D06FA3FA4493,四川省成都市新都区大熊猫繁育研究基地,104.144690,30.737297,"104.144690,30.737297"
青羊宫,100101B2094757D06FAAFE439E,四川省成都市青羊区青羊宫,104.043161,30.661949,"104.043161,30.661949"
青城山景区,100101B2094757D06FA2FB4598,四川省成都市都江堰市青城山景区,103.494999,30.921946,"103.494999,30.921946"
成都欢乐谷,100101B2094757D06FA2F4439D,四川省成都市金牛区成都欢乐谷,104.033593,30.721002,"104.033593,30.721002"
成都人民公园,100101B2094757D06FA7FB489A,四川省成都市青羊区人民公园,104.056779,30.659324,"104.056779,30.659324"
文殊院,100101B2094655DB6CABFA479E,四川省成都市青羊区文殊院,104.071833,30.675744,"104.071833,30.675744"
杜甫草堂,100101B2094655DB6EA0FE4292,四川省成都市青羊区杜甫草堂,104.028553,30.660076,"104.028553,30.660076"
成都新国际会议展览中心,100101B2094655DB6FA7FF429B,四川省成都市武侯区新国际会议展览中心,104.074026,30.559798,"104.074026,30.559798"
双流黄龙溪古镇,100101B2094757D06FAAF4459B,四川省成都市双流区古镇,103.971467,30.315279,"103.971467,30.315279"
国色天乡乐园,100101B2094655DB6DA7FF499B,四川省成都市温江区国色天乡乐园,103.825572,30.722521,"103.825572,30.722521"
街子古镇,100101B2094655DB6EA7F4479A,四川省成都市崇州市街子古镇,103.562064,30.814412,"103.562064,30.814412"
星巴克咖啡宽窄巷子店,100101B2094655DB6EA1FE4698,四川省成都市青羊区宽窄巷子店,104.057149,30.662182,"104.057149,30.662182"
香格里拉大酒店,100101B2094655DA65A2FE4698,四川省成都市锦江区香格里拉大酒店,104.086134,30.643056,"104.086134,30.643056"
膨膨冰韩式雪花冰,100101B2094655DB6EA1FB499F,not found,not found,not found,not found
成都兰桂坊,100101B2094655DB68A0FC459F,四川省成都市锦江区兰桂坊,104.085108,30.645709,"104.085108,30.645709"
华侨城公园广场欢乐谷,100101B2094757DA6DA6FB449D,四川省成都市金牛区华侨城公园广场欢乐谷,104.034724,30.721487,"104.034724,30.721487"
大慈寺,100101B2094757D069A0F4449E,四川省成都市锦江区大慈寺,104.085151,30.654807,"104.085151,30.654807"
兰桂坊成都,100101B2094757DB6DAAFF499B,四川省成都市锦江区兰桂坊成都,104.085391,30.643296,"104.085391,30.643296"
都江堰青城豪生国际酒店,100101B2094655D56FAAF8429C,四川省成都市都江堰市青城豪生国际酒店,103.599244,30.894947,"103.599244,30.894947"
成都世纪城天堂洲际大饭店,100101B2094757DA6DA6FD439A,四川省成都市武侯区洲际大饭店,104.072145,30.559748,"104.072145,30.559748"
四川电视塔,100101B2094757D069ABFF479A,四川省成都市成华区电视塔,104.094518,30.662326,"104.094518,30.662326"
成都动物园,100101B2094757D069A6FC4799,四川省成都市成华区成都动物园,104.105709,30.710156,"104.105709,30.710156"
金沙遗址博物馆,100101B2094757D06FA5FF4998,四川省成都市金牛区金沙遗址博物馆,104.012659,30.681726,"104.012659,30.681726"
锦江宾馆,100101B2094757D068A2F84798,四川省成都市锦江区锦江宾馆,104.064675,30.648480,"104.064675,30.648480"
王府井电影城,100101B2094655DA6FA4FD4299,四川省成都市锦江区王府井电影城,104.079092,30.658258,"104.079092,30.658258"
花水湾名人度假酒店,100101B2094757D16CA6FD4892,四川省成都市大邑县花水湾名人度假酒店,103.256494,30.553488,"103.256494,30.553488"
太平洋电影城,100101B2094757D068A7F5479A,四川省成都市郫都区太平洋电影城,103.940577,30.773525,"103.940577,30.773525"
成都城市名人酒店,100101B2094655DB6CA7F5429F,四川省成都市新津县城市名人酒店,103.842271,30.377044,"103.842271,30.377044"
娇子音乐厅,100101B2094655DA6FABF4439D,四川省成都市锦江区娇子音乐厅,104.096417,30.649064,"104.096417,30.649064"
成都富力丽思卡尔顿酒店,100101B209475CDB69A2FE489B,四川省成都市青羊区富力丽思卡尔顿酒店,104.070019,30.663845,"104.070019,30.663845"
龙抄手(春熙路店),100101B2094757D06FA0FE469F,四川省成都市锦江区龙抄手,104.077594,30.654621,"104.077594,30.654621"
万达国际电影城（锦华店）,100101B2094655DB6CA4F4459D,四川省成都市锦江区万达国际电影城,104.069636,30.652438,"104.069636,30.652438"
蜀九香火锅酒楼南府店茶楼,100101B2094757D06FA4FB4393,四川省成都市武侯区蜀九香火锅酒楼,104.056739,30.647268,"104.056739,30.647268"
西岭雪山大飞水景区,100101B2094450D569ABF94793,四川省成都市大邑县雪山大飞水景区,103.192598,30.700139,"103.192598,30.700139"
成都凯宾斯基饭店,100101B2094655DA69A6F8429E,四川省成都市金牛区凯宾斯基饭店,104.066412,30.692720,"104.066412,30.692720"
新城市电影城,100101B2094655DA6CA3FE4292,四川省成都市青羊区新城市电影城,104.057811,30.674219,"104.057811,30.674219"
总府皇冠假日酒店,100101B2094757D068A3FB4999,四川省成都市锦江区总府皇冠假日酒店,104.077623,30.659273,"104.077623,30.659273"
