pname,pid,formatted_address,longitude,latitude,lnglat
黄鹤楼,100101B2094655D464A3FF439C,湖北省武汉市江汉区黄鹤楼,114.267135,30.588888,"114.267135,30.588888"
武汉欢乐谷,100101B2094750D16AA1FD429C,湖北省武汉市洪山区武汉欢乐谷,114.395108,30.592663,"114.395108,30.592663"
武汉长江大桥,100101B2094655D56CA2FF489C,湖北省武汉市武昌区武汉长江大桥,114.288626,30.549505,"114.288626,30.549505"
汤逊湖,100101B2094757D16CA3F9489E,湖北省武汉市洪山区汤逊湖,114.402032,30.458283,"114.402032,30.458283"
昙华林,100101B2094750D565A5F8469E,湖北省武汉市武昌区昙华林,114.309186,30.551847,"114.309186,30.551847"
湖北省博物馆,100101B2094757D06FA3F4439A,湖北省武汉市武昌区湖北省博物馆,114.365493,30.561423,"114.365493,30.561423"
珞珈山,100101B2094757D069A7FE449F,湖北省武汉市武昌区珞珈山,114.360437,30.533255,"114.360437,30.533255"
武汉万达影院菱角湖店,100101B2094655D56EAAFE479D,湖北省武汉市江汉区菱角湖店,114.266127,30.608671,"114.266127,30.608671"
归元寺,100101B2094655D464A2F4479A,湖北省武汉市汉阳区归元寺,114.260818,30.544754,"114.260818,30.544754"
武汉富力威斯汀酒店,100101B2094757DB6DA5FF4393,湖北省武汉市武昌区威斯汀酒店,114.308234,30.564753,"114.308234,30.564753"
武汉极地海洋世界,100101B2094757D565A7F54298,湖北省武汉市东西湖区极地海洋世界,114.277853,30.664527,"114.277853,30.664527"
水果湖,100101B2094655D56EA6FE459B,湖北省武汉市武昌区水果湖,114.347039,30.543481,"114.347039,30.543481"
武汉万达影城,100101B2094655D56EA2FF489C,湖北省武汉市汉阳区万达影城,114.267286,30.549275,"114.267286,30.549275"
武汉大学图书馆文理馆(总馆),100101B2094757D06FA3F4469E,湖北省武汉市武昌区武汉大学图书馆,114.362712,30.535956,"114.362712,30.535956"
星巴克咖啡(光谷店),100101B2094655D56CA2FC419B,湖北省武汉市洪山区星巴克咖啡,114.410546,30.491304,"114.410546,30.491304"
海底捞火锅凯德广场店,100101B2094752D364A2F4489D,湖北省武汉市硚口区凯德广场店,114.266112,30.568888,"114.266112,30.568888"
香格里拉酒店(武汉店),100101B2094655D56DA5F9409F,湖北省武汉市江岸区香格里拉酒店,114.283047,30.602507,"114.283047,30.602507"
湖北经济学院图书馆,100101B2094757D068AAF9469E,湖北省武汉市江夏区湖北经济学院图书馆,114.435810,30.418323,"114.435810,30.418323"
